Date,NO2,O3,SO2,CO,PM10,PM2.5
2017-07-01 20:00,8.1,30.0,4.2,348.6,6.0,0.3
2017-07-01 19:00,9.4,27.1,4.3,339.3,4.6,0.2
2017-07-01 18:00,7.3,31.8,4.5,327.2,6.4,2.4
2017-07-01 17:00,7.2,28.8,4.5,329.8,5.8,1.6
2017-07-01 16:00,7.8,30.8,4.2,321.5,4.1,0.8
2017-07-01 15:00,6.2,31.6,4.0,317.4,2.3,0.1
2017-07-01 14:00,7.5,31.4,4.0,317.0,3.0,0.7
2017-07-01 13:00,6.2,33.2,4.4,322.5,4.3,2.0
2017-07-01 12:00,7.0,33.3,4.5,329.3,3.6,2.0
2017-07-01 11:00,8.0,31.1,4.4,328.0,3.0,1.1
2017-07-01 10:00,7.0,28.7,4.1,325.3,3.9,2.0
2017-07-01 09:00,7.8,22.9,3.7,328.2,4.3,2.7
2017-07-01 08:00,12.5,15.2,3.9,369.0,9.1,7.9
2017-07-01 07:00,14.2,3.7,4.5,361.9,4.0,2.2
2017-07-01 06:00,12.1,4.1,3.8,356.5,5.4,3.6
2017-07-01 05:00,11.4,12.2,3.8,341.0,5.3,3.8
2017-07-01 04:00,11.3,10.8,3.9,344.5,3.5,1.6
2017-07-01 03:00,11.8,16.6,5.3,350.2,6.8,4.8
2017-07-01 02:00,13.0,17.2,5.7,346.3,9.2,7.4
2017-07-01 01:00,10.8,21.8,4.7,336.0,5.4,3.6
2017-07-01 00:00,9.2,28.2,4.8,313.3,1.1,0.0
2017-06-30 23:00,7.1,26.6,4.5,323.3,3.6,2.4
2017-06-30 22:00,13.6,24.3,5.0,342.0,6.1,4.5
2017-06-30 21:00,20.0,8.9,4.9,359.1,4.1,3.0
