#,What was the purpose of your trip when you used handy?,rate,Unlimited data/internet browsing,Speed of internet connection,Unlimited international calls,Unlimited local calls,Direct dial to hotel reception,Newsfeed,LUXOS City Guide,Discounted deals/tickets,Battery life,Is there any feature you would like handy to add or improve?,Adventure Junky,Culture Lover,Fashionista,Pampering Seeker,Foodie,Local Explorer,Night Owl,Other,Are you a planner or a spontaneous traveler?,Would you likely pick a hotel that has handy in the future?,Would you likely recommend handy to a friend of colleague?,survey,Start Date (UTC),Submit Date (UTC),Network ID
bd2b0d9eff531e436e257bf0581b81fb,Business,5,5,5,1,5,4,4,4,4,5,,,,Fashionista,,Foodie,,Night Owl,,I just go with the flow,1,8,50b9a3cc-559a-11e7-8450-c05627b0f912,2017-06-21 03:03:32,2017-06-21 03:05:28,ab0a5caffb
cd5c3336f1e9caec1645613fd9987fc3,Business,5,5,5,5,5,5,5,5,5,5,,,Culture Lover,,,,,,,I like to plan everything before the trip,1,10,7a08a5fd-559a-11e7-b562-c05627b0f912,2017-06-21 03:03:44,2017-06-21 03:05:41,51228e7371
6defd1189bd1e44eae59cb4f07e1aca3,Leisure,5,5,5,5,5,5,5,5,5,5,,,,,,,Local Explorer,,,I just go with the flow,1,10,786f6fe8-559a-11e7-982b-c05627b0f912,2017-06-21 03:04:30,2017-06-21 03:05:59,dc3f805896
0daed4dccc1bde865e6dce914920b89d,Leisure,5,4,5,3,5,5,3,5,4,4,Nil,,,,Pampering Seeker,,Local Explorer,,,I like to plan everything before the trip,1,9,65025575-559a-11e7-89f9-c05627b0f912,2017-06-21 03:05:01,2017-06-21 03:06:04,da6aa63ac8
9b63bd43c15b5011a7eaa05a2e5241f7,Leisure,5,5,5,5,5,5,5,5,3,5,,,Culture Lover,,,Foodie,,,,I would like to ask for suggestions,1,10,83666026-559a-11e7-9576-c05627b0f912,2017-06-21 03:03:34,2017-06-21 03:06:07,a4486829f5
d32fad7391b51a9ec299066d3b42a4be,Leisure,3,3,2,2,2,4,2,4,4,2,bigger screen for people long sighted like me,Adventure Junky,,,,Foodie,Local Explorer,,,I just go with the flow,1,7,635db32e-559a-11e7-8cb0-c05627b0f912,2017-06-21 03:03:20,2017-06-21 03:06:14,277977fd50
bf83df01bafa9973494d3276a888ca42,Leisure,4,2,2,3,3,3,2,3,2,4,,Adventure Junky,,,,Foodie,Local Explorer,Night Owl,,I like to plan everything before the trip,1,8,77dce561-559a-11e7-bfe7-c05627b0f912,2017-06-21 03:05:05,2017-06-21 03:06:18,0d5a8be7ad
752bdfc7be656f9e088df515993b6ebd,Business,5,5,5,5,5,5,3,4,3,4,Add apps such as Grab, What's App, Line etc as default.,,,,,Foodie,Local Explorer,Night Owl,,I like to plan everything before the trip,1,10,8931fd1e-559a-11e7-933c-c05627b0f912,2017-06-21 03:04:20,2017-06-21 03:06:27,d9a9a702f9
8d0675e36ba707ce2429199cf67c4018,Business,5,4,4,4,4,4,4,4,3,4,,Adventure Junky,,,,Foodie,,,,I just go with the flow,1,8,54372b99-559a-11e7-935a-c05627b0f912,2017-06-21 03:05:02,2017-06-21 03:06:33,8b170306f0
81cdadd502c8ff3196333de5f319f7c0,Business,5,5,5,3,3,3,3,4,3,4,,Adventure Junky,Culture Lover,,,Foodie,Local Explorer,,,I just go with the flow,1,7,6750af54-559a-11e7-a3e6-c05627b0f912,2017-06-21 03:04:57,2017-06-21 03:06:35,23a67331b3
56205e9ef4098705a994547acc56d1e0,Leisure,5,5,5,3,5,3,3,3,3,3,,,Culture Lover,,,Foodie,Local Explorer,,,I just go with the flow,1,10,6474ab1e-559a-11e7-99d6-c05627b0f912,2017-06-21 03:05:25,2017-06-21 03:06:35,80fd38d5c8
c06e26e8006926dd36a737fe87dc0880,Business,5,5,5,5,5,3,1,2,2,5,,,,,,,Local Explorer,,,I like to plan everything before the trip,1,10,64cdfd68-559a-11e7-a440-c05627b0f912,2017-06-21 03:05:30,2017-06-21 03:06:41,7c8c6dd6fa
283cce89ab8b1cc7020aac66dba02e70,Business,4,5,5,5,3,5,5,5,3,5,,,Culture Lover,,,,,,,I like to plan everything before the trip,1,8,7f0c803d-559a-11e7-8389-c05627b0f912,2017-06-21 03:04:59,2017-06-21 03:06:49,b1529b2ef1
ad120888c22fdd28884d6b2e384977b2,Business,4,5,5,2,4,5,4,4,3,5,The possibillity to share it wlan,Adventure Junky,,,,Foodie,Local Explorer,,,I just go with the flow,1,8,440afe17-559a-11e7-8fac-c05627b0f912,2017-06-21 03:04:46,2017-06-21 03:06:58,83c6802c5b
d30d44c97d69327a953cc4a3dcbe0cda,Leisure,1,4,4,4,4,4,4,1,1,4,have 2 set ups - one for IOS and one for Android - ask this at log in ,,Culture Lover,,,,,,,I just go with the flow,1,4,703ea0a8-559a-11e7-99e7-c05627b0f912,2017-06-21 03:05:23,2017-06-21 03:06:58,785d201209
8639ab7587d8230f649ff79ac627cb78,Business,5,5,5,4,5,5,5,5,5,5,NA,,Culture Lover,,,,,,,I just go with the flow,1,10,57b11933-559a-11e7-bd41-c05627b0f912,2017-06-21 03:04:43,2017-06-21 03:07:01,710fa75dcb
e848e8b2d5ce91412693e24cf5122a8b,Leisure,5,5,5,5,5,5,5,5,1,5,,,,,,Foodie,,,,I like to plan everything before the trip,1,10,66bbf775-559a-11e7-a6d5-c05627b0f912,2017-06-21 03:06:10,2017-06-21 03:07:03,d73ec81888
c1273a6a0b0cd7c3ce1a2c49f8dd58e8,Business,5,4,3,5,5,5,3,3,3,5,,,,,,,,Night Owl,,I like to plan everything before the trip,1,10,6e0291c0-559a-11e7-a0fc-c05627b0f912,2017-06-21 03:05:21,2017-06-21 03:07:04,a919d4130f
dd49a33633417779ce69cb8c930bc2b2,Leisure,5,5,5,5,5,5,5,5,5,5,Better connection in weak signal spots,Adventure Junky,Culture Lover,Fashionista,Pampering Seeker,Foodie,Local Explorer,,,I just go with the flow,1,7,4e7e2ba3-559a-11e7-b5cc-c05627b0f912,2017-06-21 03:06:02,2017-06-21 03:07:30,a1a73537e0
f7b2554dccf8f302c3463a7ef6ef0843,Business,5,5,5,5,5,5,5,5,5,5,All Sweet,,,,,,Local Explorer,,,I just go with the flow,1,10,5a881d2b-559a-11e7-8be4-c05627b0f912,2017-06-21 03:06:04,2017-06-21 03:07:30,8be42e2d94
ddb28560616ae41352fbeea7aae47b19,Leisure,4,5,3,2,5,5,2,2,2,5,calls to the US? also, it connected me to the police when i dialed once, which was... odd,Adventure Junky,,Fashionista,,Foodie,Local Explorer,,,I would like to ask for suggestions,1,10,680ed0c7-559a-11e7-9d50-c05627b0f912,2017-06-21 03:05:34,2017-06-21 03:07:36,2602:306:c
77689d2dcdc07fab5169b54faf86948e,Business,3,5,4,3,5,3,1,1,1,2,,Adventure Junky,,,,,Local Explorer,,,I like to plan everything before the trip,1,7,473bc4cf-559a-11e7-b9ec-c05627b0f912,2017-06-21 03:06:25,2017-06-21 03:07:38,7bcceaad8e
a6a182cae546fd4287e07d07ef70f0b9,Business,5,5,5,5,5,5,5,5,5,5,No,Adventure Junky,,,,,,,,I like to plan everything before the trip,1,10,58bae5e3-559a-11e7-a0e7-c05627b0f912,2017-06-21 03:06:46,2017-06-21 03:07:38,2401:fa00:
cfc765d1893ac62a2048476493205d2a,Leisure,5,5,4,5,5,5,4,4,4,5,,,,,,Foodie,Local Explorer,,,I just go with the flow,1,10,7ab5e745-559a-11e7-a01b-c05627b0f912,2017-06-21 03:05:41,2017-06-21 03:07:39,cd0e2fb26c
117e6c2fde106f46ff4c61e9305c84cf,Leisure,3,3,2,3,4,3,3,2,3,3,No thanks,,Culture Lover,Fashionista,,Foodie,Local Explorer,,,I like to plan everything before the trip,1,6,4db203b8-559a-11e7-8920-c05627b0f912,2017-06-21 03:05:24,2017-06-21 03:07:43,2797c33cdf
6e4a0dccff67769fa7338692af4fd9bf,Business,5,5,5,3,5,5,5,5,4,4,Battery life and international call,Adventure Junky,,,,,,,,I like to plan everything before the trip,1,10,66b090d4-559a-11e7-b49e-c05627b0f912,2017-06-21 03:05:33,2017-06-21 03:07:44,d04881f05f
a0f28d429217fae812d1ec898efcaf13,Leisure,5,5,5,2,2,3,3,5,2,2,,Adventure Junky,Culture Lover,,,Foodie,Local Explorer,,,I just go with the flow,1,10,5d4396de-559a-11e7-a33d-c05627b0f912,2017-06-21 03:06:33,2017-06-21 03:07:44,700d5c3e39
